UniprotID,Species,Temperature preference,Data Type
A9W6Q3,Methylorubrum extorquens,mesophilic,train
A7GIN4,Clostridium botulinum,mesophilic,train
A5N5D6,Clostridium kluyveri,mesophilic,train
C1FLV6,Clostridium botulinum,mesophilic,train
P30719,Clostridium acetobutylicum,mesophilic,train
B9DYY4,Clostridium kluyveri,mesophilic,train
Q18CT6,Clostridioides difficile,mesophilic,train
A7FYP4,Clostridium botulinum,mesophilic,train
P48223,Acetivibrio thermocellus,thermophilic,train
Q9KKF1,Clostridioides difficile,mesophilic,train
Q6G7S7,Staphylococcus aureus,mesophilic,train
Q2YUD7,Staphylococcus aureus,mesophilic,train
A6U3B6,Staphylococcus aureus,mesophilic,train
Q5HEH1,Staphylococcus aureus,mesophilic,train
P0A014,Staphylococcus aureus,mesophilic,train
Q2FF94,Staphylococcus aureus,mesophilic,train
Q2FWN3,Staphylococcus aureus,mesophilic,train
A5IUH7,Staphylococcus aureus,mesophilic,train
A7X4J3,Staphylococcus aureus,mesophilic,train
A8Z4T3,Staphylococcus aureus,mesophilic,train
Q6GF42,Staphylococcus aureus,mesophilic,train
P99104,Staphylococcus aureus,mesophilic,train
A6QIM8,Staphylococcus aureus,mesophilic,train
P0A012,Staphylococcus aureus,mesophilic,train
Q9PRP6,Gallus gallus,mesophilic,train
Q63H63,Bacillus cereus,mesophilic,train
Q81J17,Bacillus cereus,mesophilic,train
B9IZM2,Bacillus cereus,mesophilic,train
B1L1K1,Clostridium botulinum,mesophilic,train
A0A158Q5X7,Dracunculus medinensis,mesophilic,train
A0A0H2XI17,Staphylococcus aureus,mesophilic,train
C0HL33,Melicytus ramiflorus,mesophilic,train
B7KS48,Methylorubrum extorquens,mesophilic,train
K0EZZ0,Nocardia brasiliensis,mesophilic,train
P85874,Polistes major,mesophilic,train
P84931,Phyllomedusa tarsius,mesophilic,train
C0HLD8,Phyllomedusa trinitatis,mesophilic,train
C0HLD9,Phyllomedusa trinitatis,mesophilic,train
P55171,Pseudomonas protegens,mesophilic,train
Q9ZAA0,Pseudomonas aeruginosa,mesophilic,train
Q02LD2,Pseudomonas aeruginosa,mesophilic,train
A4XTR0,Pseudomonas mendocina,mesophilic,train
B0V498,Acinetobacter baumannii,mesophilic,train
C3K347,Pseudomonas fluorescens,mesophilic,train
P27532,Acinetobacter calcoaceticus,mesophilic,train
D3ZW44,Rattus norvegicus,mesophilic,train
B1JDZ6,Pseudomonas putida,mesophilic,train
Q3K5R0,Pseudomonas fluorescens,mesophilic,train
Q9F9U1,Pseudomonas stutzeri,mesophilic,train
B0VQD3,Acinetobacter baumannii,mesophilic,train
A6V6I4,Pseudomonas aeruginosa,mesophilic,train
Q88A80,Pseudomonas syringae,mesophilic,train
Q1IG45,Pseudomonas entomophila,mesophilic,train
Q48CT7,Pseudomonas savastanoi,mesophilic,train
Q4ZMC5,Pseudomonas syringae,mesophilic,train
A0A132PA76,Enterococcus faecium,mesophilic,train
Q8IB57,Plasmodium falciparum,mesophilic,train
Q54SG8,Dictyostelium discoideum,mesophilic,train
C0HL59,Isometrus maculatus,mesophilic,train
C0HL57,Isometrus maculatus,mesophilic,train
Q88QV4,Pseudomonas putida,mesophilic,train
A0R8K7,Bacillus thuringiensis,mesophilic,train
Q3ZWD7,Dehalococcoides mccartyi,mesophilic,train
A5FP31,Dehalococcoides mccartyi,mesophilic,train
A9R2W2,Yersinia pestis,mesophilic,train
A0A0K0EQS5,Strongyloides stercoralis,mesophilic,train
Q97B34,Thermoplasma volcanium,thermophilic,train
Q9HKJ8,Thermoplasma acidophilum,thermophilic,train
F1M195,Rattus norvegicus,mesophilic,train
A0A075B5N7,Mus musculus,mesophilic,train
M0RDZ5,Rattus norvegicus,mesophilic,train
M0RAV0,Rattus norvegicus,mesophilic,train
A0A075B5K2,Mus musculus,mesophilic,train
A0A0G2K0M4,Rattus norvegicus,mesophilic,train
A0A075B5M7,Mus musculus,mesophilic,train
A0A075B5L0,Mus musculus,mesophilic,train
P14215,Limulus polyphemus,mesophilic,train
P18252,Tachypleus gigas,mesophilic,train
P69135,Tachypleus gigas,mesophilic,train
P69136,Carcinoscorpius rotundicauda,mesophilic,train
P14216,Limulus polyphemus,mesophilic,train
P0C815,Staphylococcus aureus,mesophilic,train
P0C820,Staphylococcus aureus,mesophilic,train
P0C819,Staphylococcus aureus,mesophilic,train
A9JX08,Staphylococcus aureus,mesophilic,train
P0C823,Staphylococcus aureus,mesophilic,train
P0C825,Staphylococcus aureus,mesophilic,train
P0C816,Staphylococcus aureus,mesophilic,train
P0C818,Staphylococcus aureus,mesophilic,train
P0C821,Staphylococcus aureus,mesophilic,train
P0C817,Staphylococcus aureus,mesophilic,train
A8AK73,Citrobacter koseri,mesophilic,train
P0C822,Staphylococcus aureus,mesophilic,train
A9MX47,Salmonella paratyphi,mesophilic,train
B4TZG4,Salmonella schwarzengrund,mesophilic,train
P82028,Uperoleia inundata,mesophilic,train
P82027,Uperoleia inundata,mesophilic,train
P82029,Uperoleia inundata,mesophilic,train
Q6F1I2,Mesoplasma florum,mesophilic,train
A8FBS5,Bacillus pumilus,mesophilic,train
B3EWW5,Cupiennius salei,mesophilic,train
B3EWW7,Cupiennius salei,mesophilic,train
A0A0D2G7J3,Fonsecaea pedrosoi,mesophilic,train
P08463,Schizosaccharomyces pombe,mesophilic,train
P09688,Electrophorus electricus,mesophilic,train
Q5P9A6,Anaplasma marginale,mesophilic,train
B2K6R0,Yersinia pseudotuberculosis,mesophilic,train
Q5PFU0,Salmonella paratyphi,mesophilic,train
B1JIG6,Yersinia pseudotuberculosis,mesophilic,train
B5FKP6,Salmonella dublin,mesophilic,train
A4W766,Enterobacter sp.,mesophilic,train
A1JNV1,Yersinia enterocolitica,mesophilic,train
Q8ZC17,Yersinia pestis,mesophilic,train
B5QTE0,Salmonella enteritidis,mesophilic,train
A7FLH4,Yersinia pseudotuberculosis,mesophilic,train
Q1CLB9,Yersinia pestis,mesophilic,train
B4SW31,Salmonella newport,mesophilic,train
B7LMJ4,Escherichia fergusonii,mesophilic,train
B7NJB1,Escherichia coli,mesophilic,train
Q66DY1,Yersinia pseudotuberculosis,mesophilic,train
A4TPJ3,Yersinia pestis,mesophilic,train
Q1C4F4,Yersinia pestis,mesophilic,train
Q8Z8Y9,Salmonella typhi,mesophilic,train
P0C827,Staphylococcus aureus,mesophilic,train
P0C824,Staphylococcus aureus,mesophilic,train
P0C826,Staphylococcus aureus,mesophilic,train
A3D595,Shewanella baltica,psychrophilic,train
A3QDE6,Shewanella loihica,mesophilic,train
P62479,Photobacterium profundum,psychrophilic,train
A1JME5,Yersinia enterocolitica,mesophilic,train
C5BFM7,Edwardsiella ictaluri,mesophilic,train
P59273,Shewanella oneidensis,mesophilic,train
B7NAY6,Escherichia coli,mesophilic,train
Q0HVQ7,Shewanella sp.,mesophilic,train
Q87R29,Vibrio parahaemolyticus,mesophilic,train
A0KXK2,Shewanella sp.,mesophilic,train
Q3ZZK3,Dehalococcoides mccartyi,mesophilic,train
B0BB87,Chlamydia trachomatis,mesophilic,train
Q5V1K0,Haloarcula marismortui,thermophilic,train
Q18KM8,Haloquadratum walsbyi,thermophilic,train
A0B5J1,Methanothrix thermoacetophila,thermophilic,train
A0A075B700,Homo sapiens,mesophilic,train
Q5TT27,Anopheles gambiae,mesophilic,train
B4IJG8,Drosophila sechellia,mesophilic,train
B3M269,Drosophila ananassae,mesophilic,train
Q8G6B5,Bifidobacterium longum,mesophilic,train
B7GR20,Bifidobacterium longum,mesophilic,train
A6Q809,Sulfurovum sp.,mesophilic,train
Q30RI5,Sulfurimonas denitrificans,mesophilic,train
P91455,Caenorhabditis elegans,mesophilic,train
A0A0R0KY19,Glycine max,mesophilic,train
Q38FZ4,Trypanosoma brucei,mesophilic,train
P06329,Mus musculus,mesophilic,train
A6WP02,Shewanella baltica,psychrophilic,train
B7MTN8,Escherichia coli,mesophilic,train
B1KNL5,Shewanella woodyi,mesophilic,train
B7VH49,Vibrio atlanticus,psychrophilic,train
B7VPU4,Vibrio atlanticus,psychrophilic,train
Q87QD9,Vibrio parahaemolyticus,mesophilic,train
A7MZG9,Vibrio campbellii,mesophilic,train
Q32DN9,Shigella dysenteriae,mesophilic,train
P67097,Escherichia coli,mesophilic,train
P67095,Escherichia coli,mesophilic,train
A0A0H3GR68,Klebsiella pneumoniae,mesophilic,train
P67096,Escherichia coli,mesophilic,train
A0A3P7PJL5,Dracunculus medinensis,mesophilic,train
Q55FA7,Dictyostelium discoideum,mesophilic,train
Q12156,Saccharomyces cerevisiae,mesophilic,train
Q1ZXE0,Dictyostelium discoideum,mesophilic,train
Q58641,Methanocaldococcus jannaschii,thermophilic,train
Q3ZAF8,Dehalococcoides mccartyi,mesophilic,train
Q4D3C0,Trypanosoma cruzi,mesophilic,train
A0A5K4FB96,Schistosoma mansoni,mesophilic,train
Q58157,Methanocaldococcus jannaschii,thermophilic,train
A0A0P0W2U0,Oryza sativa,mesophilic,train
Q54CG9,Dictyostelium discoideum,mesophilic,train
Q32FU8,Shigella dysenteriae,mesophilic,train
P44476,Haemophilus influenzae,mesophilic,train
Q2FXK7,Staphylococcus aureus,mesophilic,train
O30173,Archaeoglobus fulgidus,thermophilic,train
A7ZZ66,Escherichia coli,mesophilic,train
A9L4A0,Shewanella baltica,psychrophilic,train
C3LNJ6,Vibrio cholerae,mesophilic,train
Q0HJG6,Shewanella sp.,mesophilic,train
B8E9B6,Shewanella baltica,psychrophilic,train
Q49YS5,Staphylococcus saprophyticus,mesophilic,train
P82030,Uperoleia inundata,mesophilic,train
C1ET67,Bacillus cereus,mesophilic,train
B7HQX2,Bacillus cereus,mesophilic,train
P00229,Phytolacca americana,mesophilic,train
P00220,Medicago sativa,mesophilic,train
P00233,Gleichenia japonica,mesophilic,train
P11054,Azotobacter vinelandii,mesophilic,train
B7EIH2,Oryza sativa,mesophilic,train
A0A1D6PR49,Zea mays,mesophilic,train
C0NFB2,Ajellomyces capsulatus,mesophilic,train
P0DL20,Pseudechis guttatus,mesophilic,train
P0DL21,Pseudechis colletti,mesophilic,train
P0DL19,Notechis scutatus,mesophilic,train
P83063,Bacillus cereus,mesophilic,train
Q45133,Alkalihalobacillus pseudofirmus,mesophilic,train
C0HJA6,Oryctolagus cuniculus,mesophilic,train
Q18K21,Haloquadratum walsbyi,thermophilic,train
B9LUG2,Halorubrum lacusprofundi,mesophilic,train
Q87K41,Vibrio parahaemolyticus,mesophilic,train
Q7MGC2,Vibrio vulnificus,mesophilic,train
B7VTF8,Vibrio atlanticus,psychrophilic,train
Q9KP46,Vibrio cholerae,mesophilic,train
Q9HVV2,Pseudomonas aeruginosa,mesophilic,train
P65877,Neisseria meningitidis,mesophilic,train
Q5F592,Neisseria gonorrhoeae,mesophilic,train
P65876,Neisseria meningitidis,mesophilic,train
Q9PDH6,Xylella fastidiosa,mesophilic,train
Q87DQ0,Xylella fastidiosa,mesophilic,train
C0HJA8,Conus regius,mesophilic,train
P82299,Homarus americanus,mesophilic,train
P83585,Solanum abutiloides,mesophilic,train
A6UPI8,Methanococcus vannielii,mesophilic,train
P83525,Scopolia japonica,mesophilic,train
P0A3D2,Synechococcus elongatus,mesophilic,train
U7PXR6,Sporothrix schenckii,mesophilic,train
A9BCY2,Prochlorococcus marinus,mesophilic,train
A0A0R4IAM3,Danio rerio,mesophilic,train
P0A3D3,Synechococcus sp.,mesophilic,train
P00239,Dunaliella salina,mesophilic,train
P83520,Brugmansia arborea,mesophilic,train
P00232,Phytolacca acinosa,mesophilic,train
P83582,Solanum nigrum,mesophilic,train
P00244,Aphanizomenon flos-aquae,mesophilic,train
P00250,Aphanothece sacrum,mesophilic,train
P85121,Panax ginseng,mesophilic,train
P68164,Datura metel,mesophilic,train
P00235,Equisetum arvense,mesophilic,train
P09735,Marchantia polymorpha,mesophilic,train
P00231,Phytolacca americana,mesophilic,train
P00222,Colocasia esculenta,mesophilic,train
P22341,Euglena viridis,mesophilic,train
P00240,Dunaliella salina,mesophilic,train
P56408,Scenedesmus fuscus,mesophilic,train
P68166,Datura quercifolia,mesophilic,train
P68163,Datura inoxia,mesophilic,train
P10770,Peridinium bipes,mesophilic,train
P00238,Scenedesmus quadricauda,mesophilic,train
P00230,Phytolacca acinosa,mesophilic,train
P68165,Datura stramonium,mesophilic,train
P84874,Hyoscyamus niger,mesophilic,train
P07484,Palmaria palmata,psychrophilic,train
P00223,Arctium lappa,mesophilic,train
Q4DL01,Trypanosoma cruzi,mesophilic,train
Q4A5K1,Mycoplasma synoviae,mesophilic,train
A2CD15,Prochlorococcus marinus,mesophilic,train
P0DJ27,Dictyostelium discoideum,mesophilic,train
P0DJ26,Dictyostelium discoideum,mesophilic,train
A0A0N4URS4,Dracunculus medinensis,mesophilic,train
P46112,Leiurus hebraeus,thermophilic,train
Q0PBC3,Campylobacter jejuni,mesophilic,train
P45173,Haemophilus influenzae,mesophilic,train
A0A0D2EYT5,Fonsecaea pedrosoi,mesophilic,train
Q4E256,Trypanosoma cruzi,mesophilic,train
A0A3P7E832,Wuchereria bancrofti,mesophilic,train
B2SWC5,Xanthomonas oryzae,mesophilic,train
A9WHV4,Chloroflexus aurantiacus,thermophilic,train
Q9ZE77,Rickettsia prowazekii,mesophilic,train
Q5GXN9,Xanthomonas oryzae,mesophilic,train
P80707,Amycolatopsis methanolica,mesophilic,train
P84452,Sechium edule,mesophilic,train
X8FDI5,Mycobacterium ulcerans,mesophilic,train
O32091,Bacillus subtilis,mesophilic,train
Q0THH1,Escherichia coli,mesophilic,train
A6L6X1,Phocaeicola vulgatus,mesophilic,train
Q65YR7,Dictyostelium discoideum,mesophilic,train
Q2G016,Staphylococcus aureus,mesophilic,train
A0A1D8PQD5,Candida albicans,mesophilic,train
Q01519,Saccharomyces cerevisiae,mesophilic,train
P0A1G0,Salmonella typhimurium,mesophilic,train
P0A1G1,Escherichia coli,mesophilic,train
P0A1G2,Shigella flexneri,mesophilic,train
Q2FH34,Staphylococcus aureus,mesophilic,train
U7PX08,Sporothrix schenckii,mesophilic,train
Q4CRF8,Trypanosoma cruzi,mesophilic,train
A0A0P0X6W3,Oryza sativa,mesophilic,train
Q32BU8,Shigella dysenteriae,mesophilic,train
Q3B039,Synechococcus sp.,mesophilic,train
A0A0P0Y345,Oryza sativa,mesophilic,train
A0A0H3H207,Klebsiella pneumoniae,mesophilic,train
X8FIA2,Mycobacterium ulcerans,mesophilic,train
Q1RKB8,Rickettsia bellii,mesophilic,train
Q9YDJ9,Aeropyrum pernix,thermophilic,train
Q8DHW8,Thermosynechococcus elongatus,thermophilic,train
A0A0H3GU55,Klebsiella pneumoniae,mesophilic,train
P46217,Sulfolobus acidocaldarius,thermophilic,train
P0DM22,Actinia tenebrosa,psychrophilic,train
C0HJD9,Actinia bermudensis,mesophilic,train
P83951,Leptodactylus ocellatus,mesophilic,train
Q9W087,Drosophila melanogaster,mesophilic,train
Q7M2Y4,Chalinolobus morio,mesophilic,train
Q5F6A3,Neisseria gonorrhoeae,mesophilic,train
B1YCL7,Pyrobaculum neutrophilum,thermophilic,train
Q8ZX62,Pyrobaculum aerophilum,thermophilic,train
A5UL80,Methanobrevibacter smithii,mesophilic,train
Q9SN16,Arabidopsis thaliana,mesophilic,train
O25012,Helicobacter pylori,mesophilic,train
X8F3T8,Mycobacterium ulcerans,mesophilic,train
P81422,Acinetobacter radioresistens,mesophilic,train
P0C8E0,Conus parius,mesophilic,train
A0A3P7SSQ4,Dracunculus medinensis,mesophilic,train
B0SR19,Leptospira biflexa,mesophilic,train
Q2FV03,Staphylococcus aureus,mesophilic,train
Q58701,Methanocaldococcus jannaschii,thermophilic,train
A0A3P7E4N4,Wuchereria bancrofti,mesophilic,train
A0A1D8PR39,Candida albicans,mesophilic,train
C3LJX2,Bacillus anthracis,mesophilic,train
P28780,Taphozous georgianus,mesophilic,train
P08852,Marmota marmota,mesophilic,train
B0SH21,Leptospira biflexa,mesophilic,train
P56022,Helicobacter pylori,mesophilic,train
A1RGX8,Shewanella sp.,mesophilic,train
A0PQE4,Mycobacterium ulcerans,mesophilic,train
Q8RHN4,Fusobacterium nucleatum,mesophilic,train
A5EXU1,Dichelobacter nodosus,mesophilic,train
A8G910,Serratia proteamaculans,mesophilic,train
A0A0H3H3H3,Klebsiella pneumoniae,mesophilic,train
B8ZQJ5,Mycobacterium leprae,mesophilic,train
A4WEY0,Enterobacter sp.,mesophilic,train
Q7NY11,Chromobacterium violaceum,mesophilic,train
A6VQB6,Actinobacillus succinogenes,mesophilic,train
Q8G448,Bifidobacterium longum,mesophilic,train
A5UEY4,Haemophilus influenzae,mesophilic,train
Q0RDT0,Frankia alni,mesophilic,train
B2GKI4,Kocuria rhizophila,mesophilic,train
C0ZYB6,Rhodococcus erythropolis,mesophilic,train
B3DPW9,Bifidobacterium longum,mesophilic,train
B2USP1,Helicobacter pylori,mesophilic,train
C6DKK6,Pectobacterium carotovorum,mesophilic,train
A4X4P7,Salinispora tropica,mesophilic,train
B7IFB5,Thermosipho africanus,thermophilic,train
B0BPU4,Actinobacillus pleuropneumoniae,mesophilic,train
B4RJL0,Neisseria gonorrhoeae,mesophilic,train
B4RC49,Phenylobacterium zucineum,mesophilic,train
A4TCG8,Mycolicibacterium gilvum,mesophilic,train
B2HKV0,Mycobacterium marinum,mesophilic,train
B8F5Z2,Haemophilus parasuis,mesophilic,train
Q1BA77,Mycobacterium sp.,mesophilic,train
Q7DDM4,Neisseria meningitidis,mesophilic,train
P41120,Photorhabdus luminescens,mesophilic,train
Q81VQ3,Bacillus anthracis,mesophilic,train
B7IT47,Bacillus cereus,mesophilic,train
A7GK48,Bacillus cytotoxicus,thermophilic,train
C3P9T3,Bacillus anthracis,mesophilic,train
A9VPA5,Bacillus mycoides,mesophilic,train
Q6HPN1,Bacillus thuringiensis,mesophilic,train
Q8ETV8,Oceanobacillus iheyensis,mesophilic,train
A2BMH3,Hyperthermus butylicus,thermophilic,train
O58411,Pyrococcus horikoshii,thermophilic,train
Q8E7Y1,Streptococcus agalactiae,mesophilic,train
Q8E2H3,Streptococcus agalactiae,mesophilic,train
X8FLS9,Mycobacterium ulcerans,mesophilic,train
X8FKG7,Mycobacterium ulcerans,mesophilic,train
A1R7F9,Paenarthrobacter aurescens,mesophilic,train
C0HK88,Xenopus borealis,mesophilic,train
P82284,Bombina variegata,mesophilic,train
P82282,Bombina variegata,mesophilic,train
P82285,Bombina variegata,mesophilic,train
Q30SM6,Sulfurimonas denitrificans,mesophilic,train
Q7MYY9,Photorhabdus laumondii,mesophilic,train
Q8ZBC5,Yersinia pestis,mesophilic,train
B2VGN5,Erwinia tasmaniensis,mesophilic,train
A8AQ54,Citrobacter koseri,mesophilic,train
A8L6G0,Frankia sp.,mesophilic,train
Q5FA41,Neisseria gonorrhoeae,mesophilic,train
B1JLX7,Yersinia pseudotuberculosis,mesophilic,train
A0LV21,Acidothermus cellulolyticus,thermophilic,train
A8M757,Salinispora arenicola,mesophilic,train
O32967,Mycobacterium leprae,mesophilic,train
A3N113,Actinobacillus pleuropneumoniae,mesophilic,train
A6LJ39,Thermosipho melanesiensis,thermophilic,train
B1GZG7,Endomicrobium trichonymphae,mesophilic,train
Q2NW20,Sodalis glossinidius,mesophilic,train
B1ZS99,Opitutus terrae,mesophilic,train
Q4FNM7,Pelagibacter ubique,mesophilic,train
Q9MUK9,Mesostigma viride,mesophilic,train
O25634,Helicobacter pylori,mesophilic,train
P81314,Methanocaldococcus jannaschii,thermophilic,train
C3MAY8,Sinorhizobium fredii,mesophilic,train
B2S671,Brucella abortus,mesophilic,train
B7LRS8,Escherichia fergusonii,mesophilic,train
Q58808,Methanocaldococcus jannaschii,thermophilic,train
Q54M82,Dictyostelium discoideum,mesophilic,train
Q57785,Methanocaldococcus jannaschii,thermophilic,train
Q2G0U6,Staphylococcus aureus,mesophilic,train
A0A3P7DWW5,Wuchereria bancrofti,mesophilic,train
Q556F2,Dictyostelium discoideum,mesophilic,train
Q8CYC4,Streptococcus pneumoniae,mesophilic,train
A0A0N4U546,Dracunculus medinensis,mesophilic,train
P07280,Saccharomyces cerevisiae,mesophilic,train
Q4DPL1,Trypanosoma cruzi,mesophilic,train
Q67QQ3,Symbiobacterium thermophilum,thermophilic,train
Q2FX02,Staphylococcus aureus,mesophilic,train
Q050Y5,Leptospira borgpetersenii,mesophilic,train
P62232,Leptospira interrogans,mesophilic,train
Q39R89,Geobacter metallireducens,mesophilic,train
B8DP97,Desulfovibrio vulgaris,mesophilic,train
P19014,Cricetomys gambianus,mesophilic,train
B1KRQ7,Shewanella woodyi,mesophilic,train
A3QGU2,Shewanella loihica,mesophilic,train
A3D7K3,Shewanella baltica,psychrophilic,train
A1ST52,Psychromonas ingrahamii,psychrophilic,train
Q66F57,Yersinia pseudotuberculosis,mesophilic,train
A1UET5,Mycobacterium sp.,mesophilic,train
A9M2F1,Neisseria meningitidis,mesophilic,train
A3PY92,Mycobacterium sp.,mesophilic,train
B8GWZ1,Caulobacter vibrioides,mesophilic,train
B6JCR9,Afipia carboxidovorans,mesophilic,train
Q1DAM2,Myxococcus xanthus,mesophilic,train
Q21C28,Rhodopseudomonas palustris,mesophilic,train
Q03VU8,Leuconostoc mesenteroides,mesophilic,train
Q38WR4,Lactobacillus sakei,mesophilic,train
B1LZQ2,Methylobacterium radiotolerans,mesophilic,train
Q07V81,Rhodopseudomonas palustris,mesophilic,train
B2UNB0,Akkermansia muciniphila,mesophilic,train
P67818,Saguinus oedipus,mesophilic,train
B3QAB1,Rhodopseudomonas palustris,mesophilic,train
Q13EM1,Rhodopseudomonas palustris,mesophilic,train
A4YJF2,Bradyrhizobium sp.,mesophilic,train
Q9AC31,Caulobacter vibrioides,mesophilic,train
Q2J2J5,Rhodopseudomonas palustris,mesophilic,train
B7KN56,Methylorubrum extorquens,mesophilic,train
Q89WB2,Bradyrhizobium diazoefficiens,mesophilic,train
A5VJ89,Limosilactobacillus reuteri,mesophilic,train
Q50EJ9,Lactobacillus reuteri,mesophilic,train
B1N065,Leuconostoc citreum,mesophilic,train
A5E869,Bradyrhizobium sp.,mesophilic,train
B8E6N5,Shewanella baltica,psychrophilic,train
Q12QH8,Shewanella denitrificans,mesophilic,train
Q0HXR2,Shewanella sp.,mesophilic,train
A8F724,Pseudothermotoga lettingae,thermophilic,train
Q7A5P1,Staphylococcus aureus,mesophilic,train
A0A0N4UEM6,Dracunculus medinensis,mesophilic,train
O55179,Mus musculus,mesophilic,train
Q7G608,Oryza sativa,mesophilic,train
O74690,Schizosaccharomyces pombe,mesophilic,train
P84939,Pithecopus azureus,mesophilic,train
C0HK86,Xenopus borealis,mesophilic,train
P69016,Ranoidea raniformis,mesophilic,train
P69017,Ranoidea aurea,mesophilic,train
P69018,Ranoidea raniformis,mesophilic,train
P80891,Aliivibrio fischeri,mesophilic,train
P99507,Canis lupus,mesophilic,train
Q8MYY7,Drosophila melanogaster,mesophilic,train
P37589,Salmonella typhimurium,mesophilic,train
P0CI08,Hastula hectica,mesophilic,train
P83576,Arthrobacter sp.,mesophilic,train
C0HKZ3,Conus araneosus,mesophilic,train
P0DJQ1,Trimeresurus stejnegeri,mesophilic,train
Q8E549,Streptococcus agalactiae,mesophilic,train
O66603,Aquifex aeolicus,thermophilic,train
P86051,Ganoderma lucidum,mesophilic,train
B3A0N0,Odorrana jingdongensis,mesophilic,train
A8STG1,Riftia pachyptila,thermophilic,train
Q9NH76,Naegleria fowleri,thermophilic,train
Q6B0K8,Naegleria gruberi,mesophilic,train
A0A0D2GHK6,Fonsecaea pedrosoi,mesophilic,train
Q7CPZ0,Salmonella typhimurium,mesophilic,train
Q54TE4,Dictyostelium discoideum,mesophilic,train
P16643,Dictyostelium discoideum,mesophilic,train
Q558X5,Dictyostelium discoideum,mesophilic,train
Q38F38,Trypanosoma brucei,mesophilic,train
Q9NAQ5,Caenorhabditis elegans,mesophilic,train
Q4CQQ9,Trypanosoma cruzi,mesophilic,train
P86510,Litoria rothii,mesophilic,train
Q487J9,Colwellia psychrerythraea,psychrophilic,train
P59799,Aquifex aeolicus,thermophilic,train
Q47907,Francisella novicida,mesophilic,train
A0A0I9N7X9,Brugia malayi,mesophilic,train
J9EY04,Wuchereria bancrofti,mesophilic,train
A0A0N4UMU4,Dracunculus medinensis,mesophilic,train
Q8N6V4,Homo sapiens,mesophilic,train
Q3KNL4,Mus musculus,mesophilic,train
D4A9X2,Rattus norvegicus,mesophilic,train
A0A0N7KQ83,Oryza sativa,mesophilic,train
Q8ZLE7,Salmonella typhimurium,mesophilic,train
C0HLC3,Phyllomedusa trinitatis,mesophilic,train
P84937,Pithecopus azureus,mesophilic,train
